measurementTime: 2 secs
# JMH 1.10.3 (released 30 days ago)
# VM version: JDK 1.8.0_51, VM 25.51-b03
# VM invoker: /opt/jdk1.8.0_51/jre/bin/java
# VM options: -XX:MaxInlineSize=400 -Xmx1g -Didea.launcher.port=7548 -Didea.launcher.bin.path=/opt/idea-IU-142.3371.3/bin -Dfile.encoding=UTF-8
# Warmup: 5 iterations, 1 s each
# Measurement: 5 iterations, 2 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Sampling time
# Benchmark: net.openhft.chronicle.wire.benchmarks.Main.bytesMarshallableStopBit

# Run progress: 0.00% complete, ETA 00:02:30
# Fork: 1 of 10
# Warmup Iteration   1: n = 39424, mean = 5129 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 149, 166, 277, 280, 6598, 56598, 16009994, 31948800 ns/op
# Warmup Iteration   2: n = 18648, mean = 178 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 148, 164, 205, 275, 280, 333, 762, 1086 ns/op
# Warmup Iteration   3: n = 13447, mean = 169 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 151, 166, 178, 190, 198, 218, 1323, 1878 ns/op
# Warmup Iteration   4: n = 13771, mean = 169 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 157, 166, 177, 190, 200, 214, 258, 266 ns/op
# Warmup Iteration   5: n = 12836, mean = 169 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 151, 166, 178, 190, 202, 219, 285, 295 ns/op
Iteration   1: n = 27820, mean = 169 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 124, 166, 177, 189, 198, 211, 270, 2004 ns/op
Iteration   2: n = 27733, mean = 169 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 150, 167, 179, 190, 197, 217, 352, 1876 ns/op
Iteration   3: n = 28296, mean = 169 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 149, 166, 178, 189, 198, 218, 302, 541 ns/op
Iteration   4: n = 28298, mean = 169 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 151, 166, 178, 189, 199, 217, 308, 353 ns/op
Iteration   5: n = 28305, mean = 169 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 150, 166, 178, 189, 198, 216, 293, 1934 ns/op

# Run progress: 10.00% complete, ETA 00:02:28
# Fork: 2 of 10
# Warmup Iteration   1: n = 38149, mean = 4699 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 149, 174, 278, 282, 7212, 67546, 15753462, 35061760 ns/op
# Warmup Iteration   2: n = 19424, mean = 182 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 148, 168, 257, 279, 284, 343, 1763, 1852 ns/op
# Warmup Iteration   3: n = 12265, mean = 174 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 149, 171, 182, 195, 198, 202, 1503, 1866 ns/op
# Warmup Iteration   4: n = 13110, mean = 174 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 158, 171, 181, 194, 199, 210, 5892, 7680 ns/op
# Warmup Iteration   5: n = 13032, mean = 174 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 158, 171, 181, 194, 199, 201, 1924, 2664 ns/op
Iteration   1: n = 25727, mean = 174 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 150, 171, 181, 195, 199, 203, 288, 2036 ns/op
Iteration   2: n = 26937, mean = 174 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 150, 171, 181, 194, 199, 201, 731, 2352 ns/op
Iteration   3: n = 26925, mean = 174 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 151, 171, 182, 195, 198, 201, 255, 1816 ns/op
Iteration   4: n = 27044, mean = 174 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 149, 171, 181, 194, 198, 201, 1971, 2824 ns/op
Iteration   5: n = 27041, mean = 174 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 146, 171, 181, 194, 198, 201, 270, 336 ns/op

# Run progress: 20.00% complete, ETA 00:02:11
# Fork: 3 of 10
# Warmup Iteration   1: n = 36411, mean = 5228 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 151, 173, 280, 283, 10286, 65261, 14799156, 16400384 ns/op
